 1             1352 
 2             1025 
 3             534 
 4             798 
 5             814 
 6             840 
 7             1021 
 8             502 
 9             762 
 10            597 
 11            631 
 12            496 
 13            647 
 14            516 
 15            739 
 16            893 
 17            565 
 18            1131 
 19            793 
 20            813 
 21            548 
 22            791 
 23            1055 
 24            973 
 25            852 
 26            675 
 27            586 
 28            653 
 29            708 
 30            623 
 31            877 
 32            567 
 33            457 
 34            490 
 35            591 
 36            682 
 37            716 
 38            599 
 39            542 
 40            779 
 41            648 
 42            472 
 43            638 
 44            773 
 45            531 
 46            765 
 47            921 
 48            500 
 49            637 
 50            617 
 51            550 
 52            812 
 53            518 
 54            539 
 55            457 
 56            573 
 57            498 
 58            567 
 59            546 
 60            685 
 61            901 
 62            484 
 63            637 
 64            796 
 65            943 
 66            708 
 67            613 
 68            1134 
 69            837 
 70            902 
 71            670 
 72            483 
 73            624 
 74            464 
 75            585 
 76            686 
 77            424 
 78            568 
 79            376 
 80            683 
 81            587 
 82            703 
 83            750 
 84            586 
 85            861 
 86            1056 
 87            1057 
 88            447 
 89            708 
 90            498 
 91            462 
 92            555 
 93            527 
 94            510 
 95            631 
 96            692 
 97            780 
 98            554 
 99            634 
 100           641 
 101           380 
 102           591 
 103           1088 
 104           553 
 105           500 
 106           1020 
 107           493 
 108           461 
 109           721 
 110           635 
 111           632 
 112           961 
 113           480 
 114           643 
