1	1413
2	828
3	1235
4	961
5	769
6	578
7	732
8	951
9	937
10	989
11	821
12	917
13	924
14	1318
15	727
16	609
17	1178
18	582
19	812
20	1241
21	512
22	694
23	764
24	679
25	651
26	865
27	672
28	691
29	832
30	820
31	835
32	998
33	724
34	709
35	679
36	840
37	564
38	780
39	627
40	631
41	602
42	461
43	806
44	713
45	1145
46	1103
47	699
48	1031
49	678
50	582
51	842
52	704
53	608
54	736
55	733
56	634
57	725
58	626
59	633
60	734
61	662
62	708
63	643
64	817
65	715
66	629
67	569
68	493
69	589
70	572
71	686
72	515
73	704
74	610
75	532
76	971
77	845
78	659
79	636
80	786
81	884
82	1065
83	630
84	641
85	898
86	909
87	997
88	707
89	984
90	722
91	708
92	627
93	673
94	548
95	738
96	713
97	618
98	647
99	846
100	698
101	494
102	1078
103	431
104	903
105	1128
