 1             689 
 2             553 
 3             519 
 4             417 
 5             1059 
 6             577 
 7             949 
 8             432 
 9             535 
 10            667 
 11            397 
 12            552 
 13            466 
 14            438 
 15            654 
 16            633 
 17            344 
 18            550 
 19            460 
 20            600 
 21            441 
 22            769 
 23            420 
 24            517 
 25            850 
 26            438 
 27            467 
 28            517 
 29            594 
 30            447 
 31            645 
 32            541 
 33            693 
 34            590 
 35            469 
 36            515 
 37            405 
 38            1057 
 39            563 
 40            555 
 41            464 
 42            554 
 43            375 
 44            617 
 45            458 
 46            891 
 47            429 
 48            432 
 49            557 
 50            535 
 51            686 
 52            353 
 53            609 
 54            622 
 55            626 
 56            415 
 57            938 
 58            648 
 59            541 
 60            438 
 61            450 
 62            502 
 63            387 
 64            568 
 65            515 
 66            491 
 67            428 
 68            749 
 69            685 
 70            997 
 71            555 
 72            456 
 73            497 
 74            444 
 75            362 
 76            396 
 77            337 
 78            645 
 79            388 
 80            372 
 81            576 
 82            419 
 83            471 
 84            838 
 85            582 
 86            497 
 87            832 
 88            580 
 89            428 
 90            465 
 91            339 
 92            810 
 93            459 
 94            567 
 95            439 
 96            441 
 97            502 
 98            335 
 99            696 
 100           544 
 101           509 
 102           694 
 103           681 
 104           308 
 105           391 
 106           427 
 107           388 
 108           393 
 109           589 
 110           427 
 111           493 
 112           747 
 113           571 
 114           488 
 115           709 
 116           544 
 117           436 
 118           471 
 119           409 
 120           639 
 121           421 
 122           555 
 123           457 
 124           469 
 125           535 
 126           397 
 127           633 
 128           521 
 129           497 
 130           593 
 131           637 
 132           328 
 133           389 
 134           451 
