 1             1375 
 2             765 
 3             651 
 4             937 
 5             691 
 6             1018 
 7             759 
 8             796 
 9             1111 
 10            945 
 11            879 
 12            787 
 13            1084 
 14            1141 
 15            791 
 16            647 
 17            707 
 18            708 
 19            1022 
 20            739 
 21            655 
 22            833 
 23            669 
 24            645 
 25            859 
 26            850 
 27            735 
 28            850 
 29            633 
 30            606 
 31            698 
 32            609 
 33            663 
 34            631 
 35            616 
 36            535 
 37            537 
 38            689 
 39            540 
 40            867 
 41            576 
 42            619 
 43            640 
 44            768 
 45            668 
 46            685 
 47            807 
 48            726 
 49            578 
 50            741 
 51            527 
 52            748 
 53            774 
 54            648 
 55            828 
 56            787 
 57            840 
 58            767 
 59            556 
 60            879 
 61            544 
 62            534 
 63            688 
 64            713 
 65            676 
 66            566 
 67            767 
 68            584 
 69            548 
 70            861 
 71            689 
 72            1200 
 73            787 
 74            594 
 75            727 
 76            899 
 77            649 
 78            795 
 79            781 
 80            583 
 81            847 
 82            705 
 83            847 
 84            1143 
 85            738 
 86            579 
 87            860 
 88            1189 
 89            660 
 90            720 
 91            483 
 92            838 
 93            653 
 94            760 
 95            692 
 96            592 
 97            1157 
 98            664 
 99            817 
 100           598 
 101           769 
 102           947 
