 1             532 
 2             597 
 3             399 
 4             449 
 5             928 
 6             460 
 7             417 
 8             679 
 9             420 
 10            457 
 11            586 
 12            369 
 13            446 
 14            413 
 15            541 
 16            345 
 17            678 
 18            464 
 19            519 
 20            717 
 21            524 
 22            630 
 23            551 
 24            456 
 25            483 
 26            519 
 27            468 
 28            748 
 29            510 
 30            512 
 31            487 
 32            745 
 33            633 
 34            400 
 35            399 
 36            655 
 37            498 
 38            512 
 39            451 
 40            511 
 41            504 
 42            410 
 43            452 
 44            483 
 45            494 
 46            584 
 47            431 
 48            618 
 49            575 
 50            432 
 51            524 
 52            517 
 53            927 
 54            583 
 55            484 
 56            634 
 57            481 
 58            718 
 59            497 
 60            532 
 61            886 
 62            480 
 63            414 
 64            546 
 65            367 
 66            494 
 67            382 
 68            341 
 69            452 
 70            451 
 71            514 
 72            449 
 73            920 
 74            448 
 75            474 
 76            472 
 77            520 
 78            466 
 79            599 
 80            399 
 81            462 
 82            419 
 83            482 
 84            792 
 85            493 
 86            400 
 87            370 
 88            457 
 89            381 
 90            396 
 91            467 
 92            372 
 93            450 
 94            463 
 95            396 
 96            465 
 97            407 
 98            486 
 99            401 
 100           602 
 101           404 
 102           445 
 103           887 
 104           439 
 105           489 
 106           582 
 107           454 
 108           522 
 109           398 
 110           384 
 111           585 
 112           553 
